"","X","index","age","target_label","session_id","correct_or_not","target_label_prob","airplane_prob","bike_prob","bird_prob","car_prob","cat_prob","chair_prob","cup_prob","hat_prob","house_prob","rabbit_prob","tree_prob","watch_prob"
"11",0,1006,5,"cat","photodraw_e21547066393058",0,0.0831370699363053,0.0770702618044737,0.0881254959685682,0.0613720264745466,0.104610316800806,0.0831370699363053,0.068475647451905,0.106310877502675,0.0995227951090607,0.0600896283594751,0.0999567351371149,0.0699708308972486,0.0813583145578208
"12",0,1007,4,"cat","photodraw_e21547242197593",0,0.0851494277322803,0.0737733839820991,0.0616543390651085,0.087923203501949,0.0952516148597516,0.0851494277322803,0.0602016672261735,0.0645342960108212,0.0981085449391244,0.0649667041273859,0.096241531920549,0.117605239925367,0.0945900467093902
"13",0,1008,6,"cat","photodraw_e21542224218088",0,0.0735796507841009,0.112983097796416,0.133015931003209,0.10469423854048,0.0675871112103878,0.0735796507841009,0.0707937777431163,0.080976344858947,0.0718899131961819,0.0595256649817065,0.0764105607629275,0.0698460292225468,0.0786976798999803
"14",0,1009,5,"cat","photodraw_e21542053241209",0,0.10584466510123,0.099620738121336,0.0741548092476409,0.0720994148430209,0.0619519224476633,0.10584466510123,0.0358443957023262,0.0685914138857926,0.0814074099151445,0.143560555969025,0.103511412877234,0.0657557765929687,0.0876574852966174
"15",0,101,7,"airplane","photodraw_e21547069129052",1,0.146368450110483,0.146368450110483,0.0689783447233543,0.0991476311456022,0.05690714477006,0.0863394684301806,0.0766409418923683,0.100290854782935,0.0691750261514098,0.0613281490786635,0.0898773462302912,0.0604676650584195,0.0844789776262318
"16",0,1010,8,"cat","photodraw_e21549650853022",0,0.105318963576015,0.0672512356530853,0.0854336075881058,0.118913787454865,0.0807349220514431,0.105318963576015,0.067447126272141,0.0477740992795194,0.0656081881984399,0.0740005719110296,0.115997807912907,0.107092439728822,0.0644272503736275
"17",0,1011,4,"cat","photodraw_e21549564465088",0,0.097616602717038,0.0965527146182492,0.0725286254768105,0.0760617884140144,0.110597414716828,0.097616602717038,0.0634600104390479,0.112763041057943,0.099965533265798,0.0646753348690934,0.080240830351542,0.0534951514136889,0.0720429526599473
"18",0,1012,9,"cat","photodraw_e21554499556910",0,0.100173373664025,0.115500746910153,0.129843998108549,0.0606428376908858,0.0507802925471595,0.100173373664025,0.0536033149796586,0.0649878930838639,0.0896255545766033,0.0546287630985368,0.118480380702339,0.0582375489942413,0.103495295643985
"19",0,1013,7,"cat","photodraw_e21547844653939",0,0.0936262279900109,0.0665628123666514,0.0784385169173297,0.120957417818878,0.0971645668601904,0.0936262279900109,0.0631882400009441,0.0632301958544042,0.0810545175453794,0.0703197355308714,0.0791311284103079,0.0840780606505419,0.102248580054491
"20",0,1014,6,"cat","photodraw_e21547845453981",0,0.106215078070092,0.0799586652444358,0.0706762165800684,0.0948575028544,0.0722979263941104,0.106215078070092,0.0718422603225881,0.080449804117183,0.0694059548003629,0.0666381187768508,0.119598514433547,0.0859654450497982,0.0820945133565635
"21",0,1015,8,"cat","photodraw_e21547845878342",0,0.113328538751943,0.0628547827314624,0.082196677146865,0.0979754036657601,0.0971996413393993,0.113328538751943,0.0620797022223009,0.0733311680679282,0.0664414889195441,0.0673784165649694,0.127356716710065,0.0548959640862949,0.0949614997934673
"22",0,1016,8,"cat","photodraw_e21548104824451",0,0.117688997222842,0.0719974485687525,0.0797779524858996,0.0749273181242986,0.165629878872045,0.117688997222842,0.0677998563303627,0.0593040767514668,0.0753735243671416,0.0760361184016811,0.0949457789778083,0.0557924686029156,0.0607265812947863
