"","X","filename","category","pre_tran","post_tran","rotate","translate","scale","site","session_id","rating"
"85",84,"CDM_photodraw_e21542229353364_square.png","square",-0.131160870194,-0.66012096405,0.0123015,0.0121701,0.0666442317467082,"CDM","e21542229353364",3
"86",85,"CDM_photodraw_e21550690726876_square.png","square",-0.29280591011,-0.637740850449,0.0567024,0.0120542,0.0357559482494421,"CDM","e21550690726876",3
"87",86,"Tsinghua_photodraw_production1573786717640_square.png","square",-0.112978376448,-0.475004047155,0.00108068,0.0751631,0.1375117556168,"Tsinghua","production1573786717640",1
"88",87,"CDM_photodraw_e21550696453174_square.png","square",-0.274788767099,-0.668413579464,0.0124797,0.0106117,0.0404877052637065,"CDM","e21550696453174",3
"89",88,"CDM_photodraw_e21541616746618_square.png","square",-0.27715113759,-0.44342854619,0.00975082,0.0229833,0.0497667481797203,"CDM","e21541616746618",2
"90",89,"Tsinghua_photodraw_production1578102076574_square.png","square",-0.301729083061,-0.809795498848,0.0178815,0.0141214,0.0493466301654622,"Tsinghua","production1578102076574",4
"91",90,"CDM_photodraw_e21547232670235_square.png","square",-0.157427608967,-0.566179990768,0.0289603,0.0205146,0.102839850308622,"CDM","e21547232670235",2
"92",91,"CDM_photodraw_e21548097384364_square.png","square",-0.357832342386,-0.536710202694,0.00441527,0.0264113,0.0431897851962763,"CDM","e21548097384364",2
"93",92,"Tsinghua_photodraw_production1573782437440_square.png","square",-0.178863570094,-0.569990992546,0.0273226,0.0578748,0.104887657441335,"Tsinghua","production1573782437440",2
"94",93,"Tsinghua_photodraw_production1575963146898_square.png","square",-0.309421539307,-0.85849493742,0.00402308,0.0113863,0.0607650609922508,"Tsinghua","production1575963146898",4
"95",94,"Tsinghua_photodraw_production1573785586812_square.png","square",-0.2215795964,-0.768295764923,0.0234851,0.0104344,0.0539542601955479,"Tsinghua","production1573785586812",3
"96",95,"Tsinghua_photodraw_production1575530375673_square.png","square",-0.324789941311,-0.823961853981,0.0147301,0.00815516,0.0476565209410509,"Tsinghua","production1575530375673",4
"97",96,"Tsinghua_photodraw_production1575357552769_square.png","square",-0.0216474477202,-0.888989925385,0.011051,0.0114966,0.0848410157074982,"Tsinghua","production1575357552769",4
"98",97,"CDM_photodraw_e21547677339884_square.png","square",-0.225726783276,-0.6178201437,0.0130795,0.0269857,0.0733646386247459,"CDM","e21547677339884",3
"99",98,"CDM_photodraw_e21547242571962_square.png","square",-0.228037029505,-0.290145605803,0.00112938,0.0102529,0.0247972960922558,"CDM","e21547242571962",1
"100",99,"CDM_photodraw_e21553797665751_square.png","square",-0.482132434845,-0.816437184811,0.007444,0.0154036,0.037729824135113,"CDM","e21553797665751",4
"101",100,"CDM_photodraw_e21542053241209_square.png","square",-0.144085943699,-0.701427638531,0.0114061,0.00785984,0.0718728326364118,"CDM","e21542053241209",3
"102",101,"Tsinghua_photodraw_production1576739828389_square.png","square",-0.042065218091,-0.771134376526,0.00757625,0.0107057,0.0850108793046276,"Tsinghua","production1576739828389",3
"103",102,"Tsinghua_photodraw_production1577170578110_square.png","square",-0.164091825485,-0.733265519142,0.0217592,0.0577985,0.0744910750009067,"Tsinghua","production1577170578110",3
"104",103,"Tsinghua_photodraw_production1578969892110_square.png","square",-0.269039183855,-0.495920240879,0.000226239,0.0183972,0.0353200814165218,"Tsinghua","production1578969892110",2
"105",104,"Tsinghua_photodraw_production1573786980255_square.png","square",0.0160149522126,-0.391510605812,0.0120545,0.0260236,0.0818535732516246,"Tsinghua","production1573786980255",1
"106",105,"Tsinghua_photodraw_production1575444597382_square.png","square",-0.146748825908,-0.799017548561,0.00497826,0.0124964,0.0724910806991753,"Tsinghua","production1575444597382",4
"107",106,"CDM_photodraw_e21548451831175_square.png","square",-0.526493489742,-0.732743501663,0.00771101,0.0414287,0.0666752822110774,"CDM","e21548451831175",3
"108",107,"CDM_photodraw_e21548096119835_square.png","square",-0.0648105666041,-0.653042793274,0.0415449,0.0063053,0.119340406391025,"CDM","e21548096119835",3
